Endpoint Group,Endpoint,Year,Race,Gender,Ethnicity,Start Age,End Age,Column,Row,Type,Value
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2008,,,,5,17,46030,1,Incidence,0.000065053
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2008,,,,5,17,46031,1,Incidence,0.000035484
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2008,,,,5,17,46032,1,Incidence,0.000016467
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2008,,,,5,17,46033,1,Incidence,0.000015902
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2008,,,,5,17,46034,1,Incidence,0.00004696
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2008,,,,5,17,46035,1,Incidence,0
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2008,,,,5,17,46037,1,Incidence,0.000012693
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2008,,,,5,17,46038,1,Incidence,0.000026114
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2008,,,,5,17,46040,1,Incidence,0.000016167
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2008,,,,5,17,46050,1,Incidence,0.000047794
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2008,,,,5,17,46052,1,Incidence,0.000018021
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2008,,,,5,17,46055,1,Incidence,0.000015313
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2008,,,,5,17,46056,1,Incidence,0
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2008,,,,5,17,46060,1,Incidence,0.000051729
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2008,,,,5,17,46062,1,Incidence,0.00002769
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2008,,,,5,17,46064,1,Incidence,0.000013953
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2008,,,,5,17,46069,1,Incidence,0.00004923
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2008,,,,5,17,46071,1,Incidence,0.000024504
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2008,,,,5,17,46074,1,Incidence,0.00001291
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2008,,,,5,17,46075,1,Incidence,0.000022769
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2008,,,,5,17,46077,1,Incidence,0.000014694
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2008,,,,5,17,46105,1,Incidence,0.000014611
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2008,,,,5,17,46106,1,Incidence,0.000022826
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2008,,,,5,17,46107,1,Incidence,0.000115957
