Endpoint Group,Endpoint,Year,Race,Gender,Ethnicity,Start Age,End Age,Column,Row,Type,Value
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46030,1,Incidence,0.00004879
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46031,1,Incidence,0.000047312
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46032,1,Incidence,0.000023785
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46033,1,Incidence,0.00002099
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46034,1,Incidence,0.00004696
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46035,1,Incidence,0.000026021
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46037,1,Incidence,0.000021154
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46038,1,Incidence,0.000033479
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46040,1,Incidence,0.000030025
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46050,1,Incidence,0.000063726
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46052,1,Incidence,0.000033269
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46055,1,Incidence,0.000019688
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46056,1,Incidence,0.000049564
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46060,1,Incidence,0.000069756
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46062,1,Incidence,0.000031151
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46064,1,Incidence,0.000024418
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46069,1,Incidence,0.000053332
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46071,1,Incidence,0
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46074,1,Incidence,0.000038731
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46075,1,Incidence,0.000034153
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46077,1,Incidence,0.00001988
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46105,1,Incidence,0.000043833
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46106,1,Incidence,0.000041086
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46107,1,Incidence,0.000137699
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46110,1,Incidence,0.000058758
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46112,1,Incidence,0.000020681
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46113,1,Incidence,0.000076638
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46115,1,Incidence,0
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46117,1,Incidence,0
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46118,1,Incidence,0.000046457
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46120,1,Incidence,0.000036052
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46121,1,Incidence,0.000010529
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46122,1,Incidence,0.0000183
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46123,1,Incidence,0.000015307
"Emergency Room Visits, Respiratory","Emergency Room Visits, Asthma",2009,,,,5,17,46124,1,Incidence,0.000031315
